approach,scenario,files_edited,fields_changed,workflow_steps,ifc_modified,external_record_modified,retrieval_questions_successful,retrieval_questions_total,link_status,execution_note
Embedded IFC,Initial creation,1,18,2,True,False,5,5,N/A,"Created complete acoustic record as IFC property set, then retrieved five questions."
Native IFC reference,Initial creation,2,18,3,True,True,5,5,VALID,"Created JSON resource + IfcDocumentReference/IfcRelAssociatesDocument, then resolved resource."
Proposed IFC–RDF,Initial creation,2,18,3,True,True,5,5,VALID,"Created RDF registry + Pset_AcousticLink, then resolved URI and queried with SPARQL."
Embedded IFC,Acoustic-value update,1,1,2,True,False,5,5,N/A,CONTROLLED TEST: changed embedded AcousticValue 44.1 -> 45.0 dB; IFC had to be modified.
Native IFC reference,Acoustic-value update,1,1,2,False,True,5,5,VALID,CONTROLLED TEST: external JSON value changed; IFC document reference remained unchanged.
Proposed IFC–RDF,Acoustic-value update,1,1,2,False,True,5,5,VALID,CONTROLLED TEST: RDF value changed; IFC wall and URI remained unchanged.
Embedded IFC,Provenance/source update,1,2,2,True,False,5,5,N/A,CONTROLLED TEST: source reference + prototype version changed inside IFC.
Native IFC reference,Provenance/source update,1,2,2,False,True,5,5,VALID,CONTROLLED TEST: external JSON source/version changed; IFC remained unchanged.
Proposed IFC–RDF,Provenance/source update,1,2,2,False,True,5,5,VALID,CONTROLLED TEST: RDF source/version changed; IFC remained unchanged and PROV graph remained available.
Embedded IFC,Broken-link case,0,0,1,False,False,5,5,N/A,"No external acoustic link exists in this arm, so this failure mode is not applicable."
Native IFC reference,Broken-link case,1,1,2,True,False,1,5,BROKEN,"CONTROLLED TEST: document Location changed to nonexistent URI; Q1-Q4 failed, Q5 still found wall->URI."
Proposed IFC–RDF,Broken-link case,1,1,2,True,False,1,5,BROKEN,"CONTROLLED TEST: Pset URI changed to absent RDF resource; Q1-Q4 failed, Q5 still found wall->URI."
Embedded IFC,Wall-geometry change,1,1,2,True,False,5,5,N/A,Moved selected wall placement X by +0.10 m (-26.800671 -> -26.700671); acoustic values/record not edited.
Native IFC reference,Wall-geometry change,1,1,2,True,False,5,5,VALID,Moved selected wall placement X by +0.10 m (-26.800671 -> -26.700671); acoustic values/record not edited.
Proposed IFC–RDF,Wall-geometry change,1,1,2,True,False,5,5,VALID,Moved selected wall placement X by +0.10 m (-26.800671 -> -26.700671); acoustic values/record not edited.
